X,Y,Time
6,141,"[8995, 10153]"
9,183,"[6511, 10919]"
14,117,"[10192, 11050]"
16,194,"[427, 10214]"
18,147,"[2485, 10081]"
18,187,"[7759, 13008]"
21,90,"[11264, 13035]"
21,122,"[1446, 9782]"
24,105,"[272, 12724]"
29,95,"[2736, 8757]"
29,118,"[3883, 5045, 12066]"
34,142,"[4658, 11212]"
37,94,"[2848, 5819]"
39,127,"[4260, 9204]"
39,133,"[748, 5397]"
41,10,"[10455, 11578]"
41,48,"[3578, 5840]"
46,159,"[3767, 9672]"
47,85,"[3353, 6680]"
49,183,"[11992, 13795]"
51,85,"[6581, 13886]"
52,59,"[1280, 3256]"
55,163,"[2831, 6937, 11365]"
56,77,"[872, 9250]"
56,96,"[1158, 5013]"
59,168,"[638, 5350, 14048]"
60,83,"[2680, 3385]"
62,22,"[12491, 13728]"
62,38,"[2068, 11760]"
63,109,"[8586, 10431]"
67,15,"[787, 2234]"
67,91,"[1128, 7572]"
69,118,"[9278, 10769]"
69,131,"[3765, 11250]"
72,52,"[7169, 14030]"
73,50,"[75, 168]"
73,94,"[4677, 7963]"
74,17,"[5928, 10536]"
75,129,"[2662, 13757]"
78,84,"[7045, 11714]"
79,94,"[6015, 14013]"
79,184,"[6036, 13236]"
80,11,"[3613, 5468]"
80,165,"[6277, 14710]"
80,170,"[8030, 14851]"
81,102,"[2910, 8760, 12023]"
81,119,"[8863, 13460]"
82,72,"[6290, 14674]"
83,106,"[4926, 7556]"
83,167,"[501, 2353]"
87,76,"[2750, 10875]"
88,185,"[1195, 3606, 7583]"
88,195,"[264, 14852]"
90,4,"[2719, 3352]"
90,85,"[1690, 9663]"
98,9,"[2470, 14341]"
104,6,"[306, 11403]"
104,22,"[5856, 10092]"
104,57,"[4244, 4845]"
105,15,"[6335, 8135]"
105,183,"[2260, 14662]"
108,5,"[10228, 12683]"
111,121,"[1650, 8757]"
111,149,"[10488, 12606]"
115,192,"[6038, 9692]"
123,66,"[5169, 10289]"
124,68,"[708, 14003]"
124,80,"[5164, 7619]"
124,167,"[6017, 10860]"
125,90,"[522, 6955]"
126,152,"[2688, 11116]"
128,113,"[4025, 9227]"
131,38,"[4488, 5143]"
132,180,"[1699, 8708]"
140,109,"[3976, 7456]"
141,132,"[5769, 13024]"
148,41,"[2978, 6576]"
161,19,"[6686, 14003]"
161,21,"[1204, 14981]"
163,12,"[1355, 14433]"
163,73,"[4137, 13904]"
164,162,"[6668, 12171]"
168,73,"[272, 5469]"
169,96,"[2659, 14501]"
169,100,"[7171, 8302]"
173,148,"[7343, 10355]"
173,191,"[3944, 10181]"
174,83,"[5630, 9451]"
175,24,"[9941, 11610]"
176,167,"[2171, 10103]"
177,30,"[6145, 11403]"
178,130,"[580, 9540]"
180,85,"[72, 10949]"
180,195,"[12282, 14248]"
181,5,"[5254, 7405]"
181,58,"[8289, 10136]"
181,155,"[4678, 12717]"
185,139,"[10576, 14706]"
188,32,"[6455, 11636]"
194,163,"[10164, 14821]"
196,25,"[5032, 6686]"
196,178,"[11572, 12986]"
